	agt	league	split	playoffs	date	game	patch	side	team	ban1	ban2	ban3	ban4	ban5	gamelength	result	kills	deaths	assists	doublekills	triplekills	quadrakills	pentakills	firstblood	team kpm	firstdragon	dragons	opp_dragons	elementaldrakes	opp_elementaldrakes	infernals	mountains	clouds	oceans	dragons (type unknown)	elders	opp_elders	firstherald	heralds	opp_heralds	firstbaron	barons	opp_barons	firsttower	towers	opp_towers	firstmidtower	firsttothreetowers	inhibitors	opp_inhibitors	damagetochampions	dpm	damageshare	damagetakenperminute	damagemitigatedperminute	wardsplaced	wpm	wardskilled	wcpm	controlwardsbought	visionscore	vspm	totalgold	earnedgold	earned gpm	earnedgoldshare	goldspent	gspd	total cs	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	xpat10	csat10	opp_goldat10	opp_xpat10	opp_csat10	golddiffat10	xpdiffat10	csdiffat10	goldat15	xpat15	csat15	opp_goldat15	opp_xpat15	opp_csat15	golddiffat15	xpdiffat15	csdiffat15
1526	6244-8106	LPL	Summer	0	2020/6/27 10:53	3	10.12	Blue	Suning	Kalista	Nidalee	Ezreal	Lee Sin	Jarvan IV	1504	1	19	4	58	2	1	0	0	0	0.758	1	2	2	2	2	0	1	1	0	NaN	0	0	1	2	0	1	1	0	1	8	3	0	1	1	0	45480	1814.3617	NaN	3183.7101	2434.508	78	3.1117	26	1.0372	30	162	6.4628	50086	33367	1331.1303	NaN	45050	0.165865	NaN	NaN	171	82	34	NaN	15480	17497	307	15536	17236	307	-56	261	0	26617	28859	491	23875	27647	507	2742	1212	-16
1527	6244-8106	LPL	Summer	0	2020/6/27 10:53	3	10.12	Red	Dominus Esports	Varus	Graves	Aphelios	LeBlanc	Renekton	1504	0	4	19	8	0	0	0	0	1	0.1596	0	2	2	2	2	1	1	0	0	NaN	0	0	0	0	2	0	0	1	0	3	8	1	0	0	1	40786	1627.1011	NaN	2477.7926	1803.5106	65	2.5931	43	1.7154	26	143	5.7048	39781	23062	920.0266	NaN	38150	-0.165865	NaN	NaN	143	104	8	NaN	15536	17236	307	15480	17497	307	56	-261	0	23875	27647	507	26617	28859	491	-2742	-1212	16
1528	ESPORTSTMNT02/1384878	LCK	Summer	0	2020/6/27 11:31	2	10.12	Blue	KT Rolster	Jayce	Zoe	Syndra	Corki	Kayle	1298	0	5	23	11	0	0	0	0	0	0.2311	0	0	3	0	3	0	0	0	0	NaN	0	0	0	0	2	0	0	1	0	1	7	0	0	0	1	38797	1793.3898	NaN	2932.4653	2518.151	54	2.4961	22	1.0169	26	118	5.4545	31700	17082	789.6148	NaN	30470	-0.24431	NaN	516	88	74	0	27.9199	13625	15896	261	16867	17826	279	-3242	-1930	-18	21810	26914	446	27855	29652	472	-6045	-2738	-26
1529	ESPORTSTMNT02/1384878	LCK	Summer	0	2020/6/27 11:31	2	10.12	Red	DAMWON Gaming	Varus	Karma	Ezreal	Rumble	Azir	1298	1	23	5	57	4	3	1	1	1	1.0632	1	3	0	3	0	1	0	1	1	NaN	0	0	1	2	0	1	1	0	1	7	1	1	1	1	0	49597	2292.6194	NaN	3310.1233	2478.8136	62	2.8659	15	0.6934	24	127	5.8706	46603	31985	1478.5054	NaN	38950	0.24431	NaN	491	167	88	25	30.416	16867	17826	279	13625	15896	261	3242	1930	18	27855	29652	472	21810	26914	446	6045	2738	26
1530	6245-8109	LPL	Summer	0	2020/6/27 11:49	1	10.12	Blue	eStar	Karma	Senna	Renekton	Corki	Kassadin	2072	0	7	22	14	0	0	0	0	0	0.2027	1	1	4	1	4	0	0	1	0	NaN	0	0	0	0	2	0	0	1	0	4	10	0	0	0	2	55964	1620.5792	NaN	3042.5965	3441.9498	130	3.7645	67	1.9402	55	270	7.8185	56167	33655	974.5656	NaN	56896	-0.085454	NaN	NaN	237	179	5	NaN	15536	18644	350	15903	18760	337	-367	-116	13	24583	29643	529	27052	31134	543	-2469	-1491	-14
1531	6245-8109	LPL	Summer	0	2020/6/27 11:49	1	10.12	Red	FunPlus Phoenix	Varus	Aphelios	Wukong	Bard	Tahm Kench	2072	1	22	7	51	2	0	0	0	1	0.6371	0	4	1	4	1	3	1	0	0	NaN	0	0	1	2	0	1	1	0	1	10	4	1	1	2	0	75833	2195.9363	NaN	2338.2625	2820.4633	135	3.9093	57	1.6506	52	305	8.832	67093	44581	1290.9556	NaN	61975	0.085454	NaN	NaN	250	178	8	NaN	15903	18760	337	15536	18644	350	367	116	-13	27052	31134	543	24583	29643	529	2469	1491	14
1532	6245-8110	LPL	Summer	0	2020/6/27 12:48	2	10.12	Blue	FunPlus Phoenix	Ornn	Wukong	Thresh	Sett	Shen	1620	1	20	6	53	4	1	0	0	1	0.7407	0	3	1	3	1	2	1	0	0	NaN	0	0	0	1	1	1	1	0	0	9	2	0	1	2	0	56918	2108.0741	NaN	2617.1111	2764.6667	94	3.4815	38	1.4074	34	173	6.4074	54219	36317	1345.0741	NaN	46070	0.098837	NaN	NaN	174	112	13	NaN	16096	17645	304	15335	17887	318	761	-242	-14	23867	28926	507	24660	29579	518	-793	-653	-11
1533	6245-8110	LPL	Summer	0	2020/6/27 12:48	2	10.12	Red	eStar	Varus	Karma	Senna	Corki	Renekton	1620	0	6	20	12	0	0	0	0	0	0.2222	1	1	3	1	3	0	0	1	0	NaN	0	0	1	1	1	0	0	1	1	2	9	1	0	0	2	41543	1538.6296	NaN	2935.4444	2874.4815	89	3.2963	40	1.4815	39	200	7.4074	42474	24572	910.0741	NaN	41731	-0.098837	NaN	NaN	170	111	22	NaN	15335	17887	318	16096	17645	304	-761	242	14	24660	29579	518	23867	28926	507	793	653	11
1534	ESPORTSTMNT02/1385131	LCK	Summer	0	2020/6/28 7:30	1	10.12	Blue	Afreeca Freecs	Yuumi	Nidalee	Sett	Wukong	Aatrox	2080	0	3	17	7	0	0	0	0	1	0.0865	1	1	4	1	4	1	0	0	0	NaN	0	0	1	1	1	0	0	1	0	2	11	0	0	0	3	42185	1216.875	NaN	3249.8365	3178.5288	99	2.8558	55	1.5865	40	243	7.0096	52845	30251	872.625	NaN	61530	0.079805	NaN	909	182	141	9	31.4712	14816	17523	318	15453	18477	351	-637	-954	-33	24117	29090	526	24171	29989	567	-54	-899	-41
1535	ESPORTSTMNT02/1385131	LCK	Summer	0	2020/6/28 7:30	1	10.12	Red	DRX	Varus	Kalista	Poppy	Jayce	Lulu	2080	1	17	4	50	3	1	0	0	0	0.4904	0	4	1	4	1	0	1	0	3	NaN	0	0	0	1	1	1	1	0	1	11	2	1	1	3	0	88331	2548.0096	NaN	2513.8558	2965.0385	123	3.5481	49	1.4135	46	282	8.1346	65857	43263	1247.9712	NaN	56808	-0.079805	NaN	939	266	146	42	34.7596	15453	18477	351	14816	17523	318	637	954	33	24171	29989	567	24117	29090	526	54	899	41
1536	ESPORTSTMNT02/1385159	LCK	Summer	0	2020/6/28 8:50	2	10.12	Blue	DRX	Kalista	Karma	Poppy	Pantheon	Aurelion Sol	2379	1	14	18	40	2	0	0	0	0	0.3531	1	2	4	2	4	1	0	1	0	NaN	0	0	1	2	0	1	1	0	0	9	6	1	0	2	1	91219	2300.6053	NaN	3194.7289	2461.0088	129	3.2535	48	1.2106	47	257	6.4817	69890	44246	1115.9142	NaN	62915	-0.039115	NaN	999	206	155	0	30.3909	15879	18496	332	15301	17736	294	578	760	38	23736	29108	519	24681	29055	467	-945	53	52
1537	ESPORTSTMNT02/1385159	LCK	Summer	0	2020/6/28 8:50	2	10.12	Red	Afreeca Freecs	Varus	Sett	Nidalee	LeBlanc	Twisted Fate	2379	0	18	14	42	2	1	0	0	1	0.454	0	4	2	4	2	3	1	0	0	NaN	0	0	0	0	2	0	0	1	1	6	9	0	1	1	2	94110	2373.5183	NaN	2915.1072	3403.6066	125	3.1526	71	1.7907	48	337	8.4994	68199	42555	1073.2661	NaN	65425	0.039115	NaN	939	266	168	34	30.3909	15301	17736	294	15879	18496	332	-578	-760	-38	24681	29055	467	23736	29108	519	945	-53	-52
1538	6246-8117	LPL	Summer	0	2020/6/28 9:15	1	10.12	Blue	LNG Esports	Nidalee	Aphelios	Ornn	Sett	Pantheon	1946	1	14	3	38	1	1	0	0	1	0.4317	0	2	3	2	3	0	0	0	2	NaN	0	0	1	2	0	1	1	0	0	10	3	1	0	2	0	82868	2555.0257	NaN	2992.1686	2963.741	96	2.9599	60	1.8499	40	230	7.0915	59280	38053	1173.2682	NaN	51283	0.049619	NaN	NaN	208	141	14	NaN	15989	19336	362	15135	18889	331	854	447	31	23656	29268	547	22900	30149	527	756	-881	20
1539	6246-8117	LPL	Summer	0	2020/6/28 9:15	1	10.12	Red	Vici Gaming	Varus	Syndra	NaN	Olaf	Jarvan IV	1946	0	3	14	8	0	0	0	0	0	0.0925	1	3	2	3	2	1	0	1	1	NaN	0	0	0	0	2	0	0	1	1	3	10	0	1	0	2	63272	1950.8325	NaN	3199.517	2609.1059	112	3.4532	62	1.9116	53	257	7.9239	49203	27976	862.5694	NaN	48800	-0.049619	NaN	NaN	222	157	9	NaN	15135	18889	331	15989	19336	362	-854	-447	-31	22900	30149	527	23656	29268	547	-756	881	-20
1540	ESPORTSTMNT02/1385182	LCK	Summer	0	2020/6/28 9:48	1	10.12	Blue	SANDBOX Gaming	Twisted Fate	Ezreal	Sett	Ornn	Wukong	1945	0	10	24	25	2	0	0	0	0	0.3085	0	2	3	2	3	2	0	0	0	NaN	0	0	1	2	0	0	0	2	1	3	11	0	0	0	3	59881	1847.2288	NaN	2713.8201	2304.4936	144	4.4422	71	2.1902	57	235	7.2494	53180	31963	986.0051	NaN	51575	-0.163365	NaN	852	164	120	0	31.3419	15197	18784	355	15884	18685	358	-687	99	-3	24172	27768	498	25235	30301	543	-1063	-2533	-45
1541	ESPORTSTMNT02/1385182	LCK	Summer	0	2020/6/28 9:48	1	10.12	Red	T1	Karma	Aphelios	Olaf	Lee Sin	Jarvan IV	1945	1	24	10	43	3	1	0	0	1	0.7404	1	3	2	3	2	1	0	1	1	NaN	0	0	0	0	2	1	2	0	0	11	3	1	1	3	0	70632	2178.8792	NaN	2890.3033	2651.5373	156	4.8123	80	2.4679	46	358	11.0437	67572	46355	1429.9743	NaN	60750	0.163365	NaN	913	236	145	29	35.4447	15884	18685	358	15197	18784	355	687	-99	3	25235	30301	543	24172	27768	498	1063	2533	45
1542	6246-8120	LPL	Summer	0	2020/6/28 10:07	2	10.12	Blue	Vici Gaming	Syndra	Graves	Ezreal	Trundle	Olaf	1813	1	16	4	36	2	1	0	0	1	0.5295	0	2	2	2	2	1	1	0	0	NaN	0	0	1	2	0	1	1	0	1	9	0	1	1	1	0	61070	2021.07	NaN	2713.4032	3259.1616	117	3.872	63	2.0849	43	272	9.0017	60203	40332	1334.7601	NaN	54355	0.191623	NaN	NaN	237	126	39	NaN	15073	19208	357	14673	18697	333	400	511	24	25648	30998	555	22753	29186	526	2895	1812	29
1543	6246-8120	LPL	Summer	0	2020/6/28 10:07	2	10.12	Red	LNG Esports	Varus	Nidalee	Sett	Lee Sin	Nautilus	1813	0	4	16	10	0	0	0	0	0	0.1324	1	2	2	2	2	1	0	1	0	NaN	0	0	0	0	2	0	0	1	0	0	9	0	0	0	1	50728	1678.8086	NaN	2720.6839	2108.3398	96	3.1771	55	1.8202	30	173	5.7253	47457	27586	912.9399	NaN	44850	-0.191623	NaN	NaN	182	142	4	NaN	14673	18697	333	15073	19208	357	-400	-511	-24	22753	29186	526	25648	30998	555	-2895	-1812	-29
1544	6246-8121	LPL	Summer	0	2020/6/28 10:56	3	10.12	Blue	LNG Esports	LeBlanc	Kalista	Kai'Sa	Renekton	Thresh	1630	0	5	11	13	0	0	0	0	0	0.184	0	0	4	0	4	0	0	0	0	NaN	0	0	1	2	0	0	0	1	0	1	8	0	0	0	1	49165	1809.7546	NaN	2495.9264	2212.1227	72	2.6503	38	1.3988	25	156	5.7423	41316	23312	858.1104	NaN	38725	-0.100785	NaN	NaN	149	112	4	NaN	14583	18392	331	15726	19215	333	-1143	-823	-2	21893	28372	506	25289	32322	564	-3396	-3950	-58
1545	6246-8121	LPL	Summer	0	2020/6/28 10:56	3	10.12	Red	Vici Gaming	Varus	Aphelios	Syndra	Twisted Fate	Bard	1630	1	11	5	26	3	1	0	0	1	0.4049	1	4	0	4	0	1	2	1	0	NaN	0	0	0	0	2	1	1	0	1	8	1	1	1	1	0	51821	1907.5215	NaN	2921.6687	2843.2638	103	3.7914	40	1.4724	40	237	8.7239	51433	33429	1230.5153	NaN	42835	0.100785	NaN	NaN	237	127	46	NaN	15726	19215	333	14583	18392	331	1143	823	2	25289	32322	564	21893	28372	506	3396	3950	58
1546	ESPORTSTMNT02/1385241	LCK	Summer	0	2020/6/28 11:39	2	10.12	Blue	T1	Karma	Olaf	Aphelios	Senna	Kai'Sa	2073	1	14	9	34	2	0	0	0	0	0.4052	0	2	3	2	3	0	1	0	1	NaN	0	0	0	0	2	1	1	0	0	7	3	0	0	1	0	48037	1390.3618	NaN	2121.4182	2164.2258	180	5.2098	101	2.9233	53	375	10.8538	64991	42468	1229.1751	NaN	58025	0.026048	NaN	1049	233	166	14	37.1056	14969	18572	350	15120	18216	337	-151	356	13	23613	29422	553	24860	29055	539	-1247	367	14
1547	ESPORTSTMNT02/1385241	LCK	Summer	0	2020/6/28 11:39	2	10.12	Red	SANDBOX Gaming	Varus	Ezreal	Twisted Fate	Taric	Nautilus	2073	0	8	14	17	0	0	0	0	1	0.2315	1	3	2	3	2	1	2	0	0	NaN	0	0	1	2	0	0	0	1	1	3	7	1	1	0	1	42345	1225.6151	NaN	2131.2301	1779.7395	169	4.8915	116	3.3575	60	358	10.3618	58095	35572	1029.5803	NaN	56533	-0.026048	NaN	1023	203	137	12	35.4848	15120	18216	337	14969	18572	350	151	-356	-13	24860	29055	539	23613	29422	553	1247	-367	-14
1548	6247-8125	LPL	Summer	0	2020/6/28 11:51	1	10.12	Blue	Rogue Warriors	LeBlanc	Twisted Fate	Ornn	Bard	Zoe	1444	0	8	34	23	1	0	0	0	1	0.3324	0	0	2	0	2	0	0	0	0	NaN	0	0	0	0	2	NaN	0	0	0	0	8	0	0	0	1	41057	1705.9695	NaN	3136.5789	2548.3795	63	2.6177	29	1.205	29	118	4.903	36762	20655	858.241	NaN	35250	-0.331519	NaN	NaN	107	67	19	NaN	15195	16341	274	17357	18613	328	-2162	-2272	-54	21905	25482	428	29612	31977	511	-7707	-6495	-83
1549	6247-8125	LPL	Summer	0	2020/6/28 11:51	1	10.12	Red	JD Gaming	Varus	Aphelios	Syndra	Jax	Azir	1444	1	34	8	70	8	1	0	0	0	1.4127	1	2	0	2	0	0	1	0	1	NaN	0	0	1	2	0	NaN	0	0	1	8	0	1	1	1	0	66604	2767.4792	NaN	2744.8753	2474.8338	84	3.4903	36	1.4958	25	195	8.1025	52107	36000	1495.8449	NaN	49258	0.331519	NaN	NaN	210	110	52	NaN	17357	18613	328	15195	16341	274	2162	2272	54	29612	31977	511	21905	25482	428	7707	6495	83
1550	6247-8127	LPL	Summer	0	2020/6/28 12:36	2	10.12	Blue	Rogue Warriors	Volibear	Twisted Fate	Nidalee	Ornn	Wukong	2153	1	19	12	50	2	0	0	0	1	0.5295	1	3	3	3	3	1	0	1	1	NaN	0	0	1	2	0	0	0	2	1	7	5	1	1	1	0	86465	2409.6145	NaN	2386.5118	1536.4515	109	3.0376	55	1.5327	34	262	7.3014	67561	44222	1232.3827	NaN	59083	-0.122487	NaN	NaN	223	129	25	NaN	18036	20618	337	14792	18044	320	3244	2574	17	27823	31850	533	24519	31193	532	3304	657	1
1551	6247-8127	LPL	Summer	0	2020/6/28 12:36	2	10.12	Red	JD Gaming	Varus	Aphelios	Syndra	Renekton	Jax	2153	0	12	19	25	2	1	0	0	0	0.3344	0	3	3	3	3	0	0	0	3	NaN	0	0	0	0	2	1	2	0	0	5	7	0	0	0	1	61246	1706.8091	NaN	3412.3641	3041.9415	126	3.5114	52	1.4491	40	280	7.8031	66441	43102	1201.1705	NaN	66792	0.122487	NaN	NaN	280	164	53	NaN	14792	18044	320	18036	20618	337	-3244	-2574	-17	24519	31193	532	27823	31850	533	-3304	-657	-1
1552	6247-8128	LPL	Summer	0	2020/6/28 13:30	3	10.12	Blue	JD Gaming	Azir	Thresh	Syndra	Rek'Sai	Nautilus	1669	1	15	6	33	2	0	0	0	0	0.5392	0	2	1	2	1	1	0	1	0	NaN	0	0	1	1	1	1	1	0	1	9	2	0	1	2	0	51052	1835.3026	NaN	2239.2331	1813.9844	111	3.9904	34	1.2223	36	218	7.837	53767	35365	1271.3601	NaN	45941	0.132427	NaN	NaN	217	138	25	NaN	15578	18162	321	15550	18306	319	28	-144	2	26278	30704	518	23313	29124	502	2965	1580	16
1553	6247-8128	LPL	Summer	0	2020/6/28 13:30	3	10.12	Red	Rogue Warriors	Varus	Nidalee	Graves	Twisted Fate	LeBlanc	1669	0	6	15	12	0	0	0	0	1	0.2157	1	1	2	1	2	0	0	0	1	NaN	0	0	0	1	1	0	0	1	0	2	9	1	0	0	2	36643	1317.3038	NaN	2528.1965	2401.3301	79	2.84	52	1.8694	32	177	6.3631	41449	23047	828.5321	NaN	40235	-0.132427	NaN	NaN	163	112	7	NaN	15550	18306	319	15578	18162	321	-28	144	-2	23313	29124	502	26278	30704	518	-2965	-1580	-16
1554	6248-8135	LPL	Summer	0	2020/6/29 9:28	1	10.12	Blue	Dominus Esports	Kalista	Galio	Sett	Yuumi	Karma	2693	1	16	19	48	1	0	0	0	1	0.3565	1	5	2	4	2	1	1	0	2	NaN	1	0	1	1	1	0	1	1	1	9	6	1	1	2	0	116728	2600.6981	NaN	3135.1281	3796.9105	142	3.1638	62	1.3814	53	309	6.8845	81592	52745	1175.1578	NaN	73850	0.016547	NaN	NaN	322	236	5	NaN	15869	19023	343	14809	18266	343	1060	757	0	24525	30089	544	22642	29309	543	1883	780	1
1555	6248-8135	LPL	Summer	0	2020/6/29 9:28	1	10.12	Red	EDward Gaming	Varus	Trundle	Syndra	Wukong	Volibear	2693	0	19	16	52	2	0	0	0	0	0.4233	0	2	5	2	4	0	0	0	2	NaN	0	1	0	1	1	1	1	1	0	6	9	0	0	0	2	110003	2450.8652	NaN	3412.0238	4682.9855	141	3.1415	70	1.5596	54	355	7.9094	77350	48503	1080.6461	NaN	72638	-0.016547	NaN	NaN	295	208	12	NaN	14809	18266	343	15869	19023	343	-1060	-757	0	22642	29309	543	24525	30089	544	-1883	-780	-1
1556	6248-8138	LPL	Summer	0	2020/6/29 10:33	2	10.12	Blue	EDward Gaming	Trundle	Syndra	Yuumi	Zoe	Wukong	1896	0	16	24	28	2	2	0	0	0	0.5063	0	1	4	1	4	0	0	1	0	NaN	0	0	1	2	0	1	1	0	0	4	8	1	0	0	1	67113	2123.8291	NaN	2661.3924	3309.4304	109	3.4494	36	1.1392	43	223	7.057	55741	35024	1108.3544	NaN	51500	-0.087421	NaN	NaN	195	143	8	NaN	16086	17604	298	16738	18264	308	-652	-660	-10	25959	30570	504	26387	30122	506	-428	448	-2
1557	6248-8138	LPL	Summer	0	2020/6/29 10:33	2	10.12	Red	Dominus Esports	Varus	Galio	Kalista	LeBlanc	Karma	1896	1	24	16	57	4	3	0	0	1	0.7595	1	4	1	4	1	1	1	2	0	NaN	0	0	0	0	2	0	0	1	1	8	4	0	1	1	0	62600	1981.0127	NaN	3016.7722	2613.2595	107	3.3861	46	1.4557	46	245	7.7532	61816	41099	1300.6013	NaN	56208	0.087421	NaN	NaN	230	149	17	NaN	16738	18264	308	16086	17604	298	652	660	10	26387	30122	506	25959	30570	504	428	-448	2
1558	6249-8143	LPL	Summer	0	2020/6/29 11:41	1	10.12	Blue	FunPlus Phoenix	Thresh	Ornn	Kalista	Bard	Sett	1789	0	5	11	11	1	0	0	0	0	0.1677	0	0	5	0	4	0	0	0	0	NaN	0	1	0	0	2	0	0	1	0	2	10	0	0	0	2	56648	1899.877	NaN	2224.2258	1825.5226	94	3.1526	59	1.9788	44	201	6.7412	44966	25340	849.8603	NaN	43900	-0.118403	NaN	NaN	149	121	3	NaN	15199	18473	317	17636	20722	356	-2437	-2249	-39	23351	28985	495	27673	32102	572	-4322	-3117	-77
1559	6249-8143	LPL	Summer	0	2020/6/29 11:41	1	10.12	Red	Victory Five	Varus	Galio	Aphelios	Nautilus	Orianna	1789	1	11	5	26	2	0	0	0	1	0.3689	1	5	0	4	0	1	1	0	2	NaN	1	0	1	2	0	1	1	0	1	10	2	1	1	2	0	48896	1639.8882	NaN	3157.0933	3034.9134	109	3.6557	52	1.744	41	285	9.5584	58361	38735	1299.1056	NaN	49425	0.118403	NaN	NaN	285	165	43	NaN	17636	20722	356	15199	18473	317	2437	2249	39	27673	32102	572	23351	28985	495	4322	3117	77
1560	6249-8145	LPL	Summer	0	2020/6/29 12:28	2	10.12	Blue	Victory Five	Galio	Karma	Kalista	Kayle	Kassadin	1694	0	0	9	0	0	0	0	0	0	0	0	1	3	1	3	0	0	1	0	NaN	0	0	0	0	2	0	0	1	0	2	7	0	0	0	1	31008	1098.2763	NaN	2090.8973	1531.0272	94	3.3294	49	1.7355	37	211	7.4734	43297	24640	872.7273	NaN	41480	-0.100624	NaN	NaN	203	149	7	NaN	14646	17210	324	15693	17816	303	-1047	-606	21	24013	28427	537	24839	27995	491	-826	432	46
1561	6249-8145	LPL	Summer	0	2020/6/29 12:28	2	10.12	Red	FunPlus Phoenix	Varus	Nidalee	Aphelios	Bard	Yuumi	1694	1	9	0	25	0	0	0	0	1	0.3188	1	3	1	3	1	0	1	1	1	NaN	0	0	1	2	0	1	1	0	1	7	2	1	1	1	0	40392	1430.6494	NaN	1958.111	1488.0638	106	3.7544	47	1.6647	48	230	8.1464	49779	31122	1102.314	NaN	45875	0.100624	NaN	NaN	201	139	11	NaN	15693	17816	303	14646	17210	324	1047	606	-21	24839	27995	491	24013	28427	537	826	-432	-46
1562	6249-8147	LPL	Summer	0	2020/6/29 13:15	3	10.12	Blue	FunPlus Phoenix	Nidalee	Kalista	Thresh	Ornn	Renekton	1711	1	16	7	42	1	0	0	0	1	0.5611	1	4	0	4	0	2	0	1	1	NaN	0	0	1	2	0	1	1	0	1	7	1	1	1	1	0	62691	2198.3986	NaN	2433.6645	2264.2198	96	3.3665	52	1.8235	46	200	7.0134	54429	35599	1248.3577	NaN	47608	0.079724	NaN	NaN	222	143	13	NaN	16582	19009	337	14978	18024	313	1604	985	24	25727	29305	514	23044	29078	495	2683	227	19
1563	6249-8147	LPL	Summer	0	2020/6/29 13:15	3	10.12	Red	Victory Five	Varus	Galio	Aphelios	Orianna	Karma	1711	0	7	16	15	0	0	0	0	0	0.2455	0	0	4	0	4	0	0	0	0	NaN	0	0	0	0	2	0	0	1	0	1	7	0	0	0	1	43749	1534.1555	NaN	2892.1333	2308.5096	107	3.7522	40	1.4027	35	232	8.1356	44880	26050	913.5009	NaN	43958	-0.079724	NaN	NaN	165	136	4	NaN	14978	18024	313	16582	19009	337	-1604	-985	-24	23044	29078	495	25727	29305	514	-2683	-227	-19
1564	6250-8148	LPL	Summer	0	2020/6/30 9:17	1	10.12	Blue	LNG Esports	Nidalee	Ezreal	Syndra	Sett	Renekton	1806	0	4	17	11	1	0	0	0	0	0.1329	0	0	4	0	4	0	0	0	0	NaN	0	0	0	0	2	0	0	1	0	1	9	0	0	0	1	43473	1444.2857	NaN	2335.9801	2208.9037	101	3.3555	49	1.6279	36	232	7.7076	46957	27158	902.2591	NaN	46475	-0.08469	NaN	NaN	195	160	7	NaN	15441	18179	336	16852	18135	327	-1411	44	9	24232	27629	515	25954	29154	516	-1722	-1525	-1
1565	6250-8148	LPL	Summer	0	2020/6/30 9:17	1	10.12	Red	Bilibili Gaming	Varus	Jarvan IV	Thresh	Twisted Fate	LeBlanc	1806	1	17	4	49	3	1	0	0	1	0.5648	1	4	0	4	0	1	0	2	1	NaN	0	0	1	2	0	1	1	0	1	9	1	1	1	1	0	56743	1885.1495	NaN	2515.9801	2625.8472	112	3.7209	45	1.495	46	266	8.8372	57950	38151	1267.4751	NaN	50585	0.08469	NaN	NaN	210	125	16	NaN	16852	18135	327	15441	18179	336	1411	-44	-9	25954	29154	516	24232	27629	515	1722	1525	1
1566	6250-8149	LPL	Summer	0	2020/6/30 10:10	2	10.12	Blue	Bilibili Gaming	Jarvan IV	LeBlanc	Kalista	Wukong	Rek'Sai	2076	1	10	4	29	0	0	0	0	1	0.289	1	2	3	2	3	1	1	0	0	NaN	0	0	0	0	2	0	1	1	0	7	7	0	0	1	0	60168	1738.9595	NaN	2492.0231	2694.3931	117	3.3815	65	1.8786	55	271	7.8324	58626	36073	1042.5723	NaN	51668	-0.065829	NaN	NaN	227	169	8	NaN	16539	19434	352	15775	18727	355	764	707	-3	24381	30000	553	25893	30219	577	-1512	-219	-24
1567	6250-8149	LPL	Summer	0	2020/6/30 10:10	2	10.12	Red	LNG Esports	Varus	Nidalee	Ornn	Bard	Yuumi	2076	0	4	10	8	0	0	0	0	0	0.1156	0	3	2	3	2	0	2	1	0	NaN	0	0	1	2	0	1	1	1	1	7	7	1	1	0	1	51882	1499.4798	NaN	2509.1908	2668.3237	128	3.6994	54	1.5607	51	259	7.4855	57586	35033	1012.5145	NaN	55185	0.065829	NaN	NaN	266	173	21	NaN	15775	18727	355	16539	19434	352	-764	-707	3	25893	30219	577	24381	30000	553	1512	219	24
1568	6251-8150	LPL	Summer	0	2020/6/30 11:26	1	10.12	Blue	Royal Never Give Up	Galio	Twisted Fate	Ashe	Yuumi	NaN	2260	1	13	9	29	1	0	0	0	1	0.3451	1	4	2	4	2	1	0	2	1	NaN	0	0	1	2	0	NaN	0	0	1	8	1	1	1	1	0	69049	1833.1593	NaN	2823.531	2235.7965	153	4.0619	82	2.177	42	366	9.7168	65729	41299	1096.4336	NaN	60210	0.094079	NaN	NaN	272	176	20	NaN	17096	19412	326	15383	18872	331	1713	540	-5	26111	31309	529	23263	30851	532	2848	458	-3
1569	6251-8150	LPL	Summer	0	2020/6/30 11:26	1	10.12	Red	Team WE	Varus	Aphelios	Kalista	Nautilus	Maokai	2260	0	9	13	16	2	0	0	0	0	0.2389	0	2	4	2	4	0	0	2	0	NaN	0	0	0	0	2	NaN	0	0	0	1	8	0	0	0	1	60698	1611.4513	NaN	2354.7611	2573.8407	147	3.9027	71	1.885	59	283	7.5133	58165	33735	895.6195	NaN	54800	-0.094079	NaN	NaN	271	188	20	NaN	15383	18872	331	17096	19412	326	-1713	-540	5	23263	30851	532	26111	31309	529	-2848	-458	3
1570	6251-8151	LPL	Summer	0	2020/6/30 12:23	2	10.12	Blue	Team WE	Nidalee	Kalista	Senna	Graves	Lee Sin	1815	1	9	1	27	2	0	0	0	0	0.2975	0	3	1	3	1	0	0	1	2	NaN	0	0	1	2	0	NaN	0	0	1	6	3	1	0	1	0	26501	876.0661	NaN	1525.6198	1909.9835	94	3.1074	67	2.2149	37	241	7.9669	53471	33580	1110.0826	NaN	45225	-0.046964	NaN	NaN	192	129	5	NaN	14822	18812	330	15401	19128	346	-579	-316	-16	25781	30879	521	23132	28747	518	2649	2132	3
1571	6251-8151	LPL	Summer	0	2020/6/30 12:23	2	10.12	Red	Royal Never Give Up	Varus	Galio	Ornn	Aurelion Sol	Fiddlesticks	1815	0	1	9	3	0	0	0	0	1	0.0331	1	1	3	1	3	0	1	0	0	NaN	0	0	0	0	2	NaN	0	0	0	3	6	0	1	0	1	19991	660.8595	NaN	1683.2066	1512.1653	116	3.8347	47	1.5537	39	240	7.9339	49336	29445	973.3884	NaN	47400	0.046964	NaN	NaN	216	151	21	NaN	15401	19128	346	14822	18812	330	579	316	16	23132	28747	518	25781	30879	521	-2649	-2132	-3
