	agt	league	split	playoffs	date	game	patch	side	team	ban1	ban2	ban3	ban4	ban5	gamelength	result	kills	deaths	assists	doublekills	triplekills	quadrakills	pentakills	firstblood	team kpm	firstdragon	dragons	opp_dragons	elementaldrakes	opp_elementaldrakes	infernals	mountains	clouds	oceans	dragons (type unknown)	elders	opp_elders	firstherald	heralds	opp_heralds	firstbaron	barons	opp_barons	firsttower	towers	opp_towers	firstmidtower	firsttothreetowers	inhibitors	opp_inhibitors	damagetochampions	dpm	damageshare	damagetakenperminute	damagemitigatedperminute	wardsplaced	wpm	wardskilled	wcpm	controlwardsbought	visionscore	vspm	totalgold	earnedgold	earned gpm	earnedgoldshare	goldspent	gspd	total cs	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	xpat10	csat10	opp_goldat10	opp_xpat10	opp_csat10	golddiffat10	xpdiffat10	csdiffat10	goldat15	xpat15	csat15	opp_goldat15	opp_xpat15	opp_csat15	golddiffat15	xpdiffat15	csdiffat15
20	5659-7259	LPL	Spring	0	2020/1/15 9:22	1	10.1	Blue	Vici Gaming	Pantheon	Rumble	Varus	Irelia	Camille	1776	0	4	17	8	0	0	0	0	0	0.1351	1	2	2	2	2	1	0	0	1	NaN	0	0	0	0	2	0	0	2	0	0	11	0	0	0	5	31775	1073.4797	NaN	2298.1419	2290.1351	107	3.6149	39	1.3176	45	191	6.4527	45709	26216	885.6757	NaN	43750	-0.193231	NaN	NaN	158	122	13	NaN	13971	16514	293	16787	19209	331	-2816	-2695	-38	21709	25944	476	26769	29967	526	-5060	-4023	-50
21	5659-7259	LPL	Spring	0	2020/1/15 9:22	1	10.1	Red	Bilibili Gaming	Akali	Aphelios	Lucian	Mordekaiser	Nautilus	1776	1	17	4	39	2	0	0	0	1	0.5743	0	2	2	2	2	0	1	0	1	NaN	0	0	1	2	0	1	2	0	1	11	0	1	1	5	0	41874	1414.6622	NaN	1998.6149	1604.527	105	3.5473	52	1.7568	46	259	8.75	59159	39666	1340.0676	NaN	53108	0.193231	NaN	NaN	225	112	37	NaN	16787	19209	331	13971	16514	293	2816	2695	38	26769	29967	526	21709	25944	476	5060	4023	50
22	5659-7260	LPL	Spring	0	2020/1/15 10:16	2	10.01	Blue	Bilibili Gaming	Irelia	Pantheon	Lucian	Nautilus	Leona	2650	0	11	12	28	3	0	0	0	1	0.2491	0	4	3	NaN	NaN	NaN	NaN	NaN	NaN	4	NaN	NaN	0	1	1	0	1	1	0	8	6	1	1	1	1	62536	1415.9094	NaN	2267.8189	2323.2226	189	4.2792	114	2.5811	64	420	9.5094	76394	47986	1086.4755	NaN	74793	0.054499	NaN	NaN	330	206	47	NaN	16984	20291	373	16395	20140	385	589	151	-12	25735	31215	532	24798	30126	552	937	1089	-20
23	5659-7260	LPL	Spring	0	2020/1/15 10:16	2	10.01	Red	Vici Gaming	Akali	Rumble	Olaf	LeBlanc	Gragas	2650	1	12	11	31	1	0	0	0	0	0.2717	1	3	4	NaN	NaN	NaN	NaN	NaN	NaN	3	NaN	NaN	1	1	1	1	1	1	1	6	8	0	0	1	1	66622	1508.4226	NaN	2048.3094	2157.7811	208	4.7094	110	2.4906	71	402	9.1019	78662	50254	1137.8264	NaN	70825	-0.054499	NaN	NaN	281	193	10	NaN	16395	20140	385	16984	20291	373	-589	-151	12	24798	30126	552	25735	31215	532	-937	-1089	20
24	5659-7261	LPL	Spring	0	2020/1/15 11:20	3	10.1	Blue	Vici Gaming	Rumble	Pantheon	Olaf	Nautilus	Camille	2128	0	7	17	15	0	0	0	0	0	0.1974	1	2	3	2	3	1	0	0	1	NaN	0	0	0	0	1	0	0	1	0	2	9	0	0	0	2	34831	982.0771	NaN	2662.0489	2473.4211	155	4.3703	76	2.1429	52	279	7.8665	56814	33730	951.0338	NaN	54033	-0.122648	NaN	NaN	244	183	15	NaN	14532	16382	302	17279	19081	318	-2747	-2699	-16	24705	29595	532	25998	28536	494	-1293	1059	38
25	5659-7261	LPL	Spring	0	2020/1/15 11:20	3	10.1	Red	Bilibili Gaming	Akali	Aphelios	Lucian	Mordekaiser	Renekton	2128	1	17	7	41	3	0	0	0	1	0.4793	0	3	2	3	2	0	1	0	2	NaN	0	0	1	1	0	1	1	0	1	9	2	1	1	2	0	69915	1971.2876	NaN	1712.4248	1335.6767	167	4.7086	91	2.5658	55	343	9.6711	66008	42924	1210.2632	NaN	61093	0.122648	NaN	NaN	241	168	5	NaN	17279	19081	318	14532	16382	302	2747	2699	16	25998	28536	494	24705	29595	532	1293	-1059	-38
26	5660-7262	LPL	Spring	0	2020/1/15 12:30	1	10.1	Blue	Invictus Gaming	Pantheon	Elise	Lucian	Rakan	Leona	1426	1	14	2	21	1	0	0	0	0	0.5891	0	1	2	1	2	0	0	0	1	NaN	0	0	1	2	0	1	1	0	1	8	1	1	1	1	0	39848	1676.6339	NaN	2163.7447	1445.5961	70	2.9453	41	1.7251	23	187	7.8682	47329	31406	1321.4306	NaN	44875	0.24788	NaN	NaN	173	115	12	NaN	15699	18785	350	15403	18256	331	296	529	19	26333	31241	558	22554	28322	511	3779	2919	47
27	5660-7262	LPL	Spring	0	2020/1/15 12:30	1	10.1	Red	Dominus Esports	Akali	Aphelios	Orianna	Gragas	Renekton	1426	0	2	14	4	0	0	0	0	1	0.0842	1	2	1	2	1	1	0	1	0	NaN	0	0	0	0	2	0	0	1	0	1	8	0	0	0	1	22459	944.979	NaN	2373.1136	1825.2454	73	3.0715	25	1.0519	32	125	5.2595	35712	19789	832.6367	NaN	34978	-0.24788	NaN	NaN	121	94	0	NaN	15403	18256	331	15699	18785	350	-296	-529	-19	22554	28322	511	26333	31241	558	-3779	-2919	-47
28	5660-7263	LPL	Spring	0	2020/1/15 13:19	2	10.1	Blue	Dominus Esports	Orianna	Elise	Lucian	Jarvan IV	Gangplank	1710	0	8	13	15	0	0	0	0	0	0.2807	1	2	2	2	2	1	0	0	1	NaN	0	0	0	0	2	0	0	1	0	3	7	0	0	0	1	35687	1252.1754	NaN	2511.8596	2060.5965	82	2.8772	40	1.4035	38	174	6.1053	45493	26673	935.8947	NaN	42400	-0.151196	NaN	NaN	166	119	12	NaN	14631	17661	325	14855	18540	329	-224	-879	-4	24299	28942	499	26038	28410	494	-1739	532	5
29	5660-7263	LPL	Spring	0	2020/1/15 13:19	2	10.1	Red	Invictus Gaming	Aphelios	Qiyana	Pantheon	Ryze	Irelia	1710	1	13	8	36	2	1	0	0	1	0.4561	0	2	2	2	2	0	0	2	0	NaN	0	0	1	2	0	1	1	0	1	7	3	1	1	1	0	47752	1675.5088	NaN	2227.8596	2048.1404	86	3.0175	50	1.7544	31	208	7.2982	53856	35036	1229.3333	NaN	49335	0.151196	NaN	NaN	227	127	37	NaN	14855	18540	329	14631	17661	325	224	879	4	26038	28410	494	24299	28942	499	1739	-532	-5
30	5661-7265	LPL	Spring	0	2020/1/16 9:41	1	10.01	Blue	Victory Five	Rumble	Elise	Qiyana	Pantheon	Irelia	1645	0	1	24	3	0	0	0	0	0	0.0365	0	0	4	0	4	0	0	0	0	NaN	0	0	1	1	1	0	0	1	0	3	8	0	0	0	2	37588	1370.9909	NaN	2534.772	1895.4894	75	2.7356	30	1.0942	38	173	6.31	40521	22364	815.7082	NaN	38910	-0.193069	NaN	NaN	151	101	24	NaN	14893	18264	345	16206	18754	320	-1313	-490	25	22086	26507	497	25237	29860	494	-3151	-3353	3
31	5661-7265	LPL	Spring	0	2020/1/16 9:41	1	10.01	Red	EDward Gaming	Akali	Aphelios	Zoe	LeBlanc	Mordekaiser	1645	1	24	1	47	5	2	0	0	1	0.8754	1	4	0	4	0	1	0	1	2	NaN	0	0	0	1	1	1	1	0	1	8	3	1	1	2	0	49786	1815.9027	NaN	2304.5106	1661.9453	106	3.8663	32	1.1672	42	226	8.2432	53681	35524	1295.7082	NaN	47225	0.193069	NaN	NaN	195	114	24	NaN	16206	18754	320	14893	18264	345	1313	490	-25	25237	29860	494	22086	26507	497	3151	3353	-3
32	5661-7266	LPL	Spring	0	2020/1/16 10:33	2	10.1	Blue	Victory Five	Rumble	Qiyana	Elise	Tahm Kench	Thresh	2484	0	4	25	2	0	0	0	0	0	0.0966	0	1	5	1	4	1	0	0	0	NaN	0	1	1	2	0	0	0	1	1	5	9	0	0	1	2	53644	1295.7488	NaN	2515.0242	2280	143	3.4541	77	1.8599	65	294	7.1014	65871	39156	945.7971	NaN	64820	-0.098702	NaN	NaN	304	191	47	NaN	14188	16745	306	16399	17862	296	-2211	-1117	10	23043	26726	479	24430	28018	477	-1387	-1292	2
